ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_long_generations.jsonl
  seed plan    fitness=   343.1 cityPop=  336 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1, 407.1, 347.1] +
  seed reactive fitness=   221.0 cityPop=  216 cell=(5, 4, 0) rolls=[305.0, 185.0, 185.0, 205.0, 225.0] +
it  154 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  151 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  153 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  155 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  156 [mutat] + fit=     1.8 pop=    0 m=(0.61,0.00,0.00) cell=(4, 0, 0) | filled=12 best_pop=420 best_fit=433
it  159 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  161 [mutat]   fit=     2.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  158 [mutat]   fit=     2.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  157 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  160 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  162 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  163 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  164 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  166 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  165 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  168 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  167 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
